Gly;Cat;Pt;pH;Yhidro
0.5;2.525;2.51;2;144
0.5;2.525;0.02;7;124
0.5;0.05;2.51;7;28
0.5;5;2.51;7;211
0.5;2.525;5;7;182
0.5;2.525;2.51;12;57
25.25;2.525;0.02;2;103
25.25;0.05;2.51;2;25
25.25;5;2.51;2;269
25.25;2.525;5;2;230
25.25;0.05;0.02;7;28
25.25;5;0.02;7;145
25.25;2.525;2.51;7;255
25.25;2.525;2.51;7;247
25.25;2.525;2.51;7;253
25.25;2.525;2.51;7;237
25.25;2.525;2.51;7;243
25.25;0.05;5;7;56
25.25;5;5;7;243
25.25;2.525;0.02;12;75
25.25;0.05;2.51;12;14
25.25;5;2.51;12;132
25.25;2.525;5;1;122
50;2.525;2.51;2;255
50;2.525;0.02;7;121
50;0.05;2.51;7;44
50;5;2.51;7;263
50;2.525;5;7;272
50;2.525;2.51;12;105
